;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
36131;#doc=Schoolday.2.txt;;;;;;;;;;;;;;
36132;1;﻿;﻿;PUNC;;;;;;;;;PUNC;﻿;PUNC
36133;2;﻿;﻿;PUNC;;;;;;;;;PUNC;﻿;PUNC
36134;3;М.;М.;INIT abbr;;;;м;;;;;S;М.;S - - nonflex nonflex
36135;4;Г.;Г.;INIT abbr;;;;г;;;;;S;Г.;S - - nonflex nonflex
36136;5;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
36137;6;Кхе-кхе;КХЕ-КХЕ;INTJ;;;е;х;к;;е;х;INTJ;КХЕ-КХЕ;INTJ
36138;7;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
36139;8;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36140;9;.;.;SENT;;;;;;;;;SENT;.;SENT
36141;;;;;;;;;;;;;;;
36142;1;Эээ;ЭЭЭ;INTJ;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
36143;2;сегодня;СЕГОДНЯ;ADV ;;;я;н;д;о;г;е;ADV;СЕГОДНЯ;ADV -
36144;3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36145;4;нет;НЕТ;PART;;;т;е;н;;;;PART;НЕТ;PART
36146;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36147;6;вчера;ВЧЕРА;ADV;;;а;р;е;ч;в;;ADV;ВЧЕРА;ADV -
36148;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36149;8;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36150;9;я;Я;SPRO sg 1p nom ;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36151;10;попросила;ПОПРОСИТЬ;V pf praet sg indic f ;;;а;л;и;с;о;р;V;ПОПРОСИТЬ;V pf praet sg indic f -
36152;11;у;У;PR;;;у;;;;;;PR;У;PR
36153;12;мамы;МАМА;S f anim gen sg;;;ы;м;а;м;;;S;МАМА;S f anim gen sg
36154;13;взять;ВЗЯТЬ;V pf inf;;;ь;т;я;з;в;;V;ВЗЯТЬ;V pf - - inf - -
36155;14;конвертик;КОНВЕРТИК;S m inan acc sg;;;к;и;т;р;е;в;S;КОНВЕРТИК;S m inan acc sg
36156;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36157;16;чтобы;ЧТОБЫ;CONJ;;;ы;б;о;т;ч;;CONJ;ЧТОБЫ;CONJ
36158;17;написать;НАПИСАТЬ;V pf inf ;;;ь;т;а;с;и;п;V;НАПИСАТЬ;V pf - - inf - -
36159;18;гмм;ГМ;INTJ;;;м;м;г;;;;NONLEX;ГММ;NONLEX
36160;19;одно...;ОДИН…;;distort;;;;;о;н;д;A;ОДИН...;A - acc sg plen n -
36161;20;моему;МОЙ;APRO dat sg plen m ;;;у;м;е;о;м;;A;МОЙ;A - dat sg plen m -
36162;21;другу;ДРУГ;S m anim dat sg;;;у;г;у;р;д;;S;ДРУГ;S - - dat sg
36163;22;письмо;ПИСЬМО;S n inan acc sg;;;о;м;ь;с;и;п;S;ПИСЬМО;S n inan acc sg
36164;23;.;.;SENT;;;;;;;;;SENT;.;SENT
36165;;;;;;;;;;;;;;;
36166;1;Это;ЭТОТ;APRO n nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
36167;2;друг;ДРУГ;S m anim nom sg;;;г;у;р;д;;;S;ДРУГ;S - - nom sg
36168;3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36169;4;который;КОТОРЫЙ;APRO nom sg plen m ;;;й;ы;р;о;т;о;A;КОТОРЫЙ;A - nom sg plen m -
36170;5;мне;Я;SPRO sg 1p dat;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
36171;6;нравится;НРАВИТЬСЯ;V ipf praes sg indic 3p;;;я;с;т;и;в;а;V;НРАВИТЬСЯ;V ipf praes sg indic - 3p
36172;7;.;.;SENT;;;;;;;;;SENT;.;SENT
36173;;;;;;;;;;;;;;;
36174;1;Ха-ха;ХА-ХА;INTJ;;;а;х;;а;х;;INTJ;ХА-ХА;INTJ
36175;2;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
36176;3;ха;ХА;INTJ;;;а;х;;;;;INTJ;ХА;INTJ
36177;4;.;.;SENT;;;;;;;;;SENT;.;SENT
36178;;;;;;;;;;;;;;;
36179;1;Сегодня;СЕГОДНЯ;ADV ;;;я;н;д;о;г;е;ADV;СЕГОДНЯ;ADV -
36180;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36181;3;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36182;4;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36183;5;пришла;ПРИЙТИ;V pf praet sg indic f ;;;а;л;ш;и;р;п;V;ПРИЙТИ;V pf praet sg indic f -
36184;6;в;В;PR;;;в;;;;;;PR;В;PR
36185;7;школу;ШКОЛА;S f inan acc sg;;;у;л;о;к;ш;;S;ШКОЛА;S f inan acc sg
36186;8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36187;9;его;ОН;SPRO sg 3p m gen;;;о;г;е;;;;SPRO;ОН;SPRO sg 3p m acc
36188;10;ещё;ЕЩЕ;ADV ;;;ё;щ;е;;;;ADV;ЕЩЕ;ADV -
36189;11;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36190;12;было;БЫТЬ;V ipf praet sg indic n ;;;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -
36191;13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36192;14;потому что;потому что;CONJ;;;о;т;ч;;у;м;ZERO;потому что;ZERO
36193;15;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
36194;16;всё;ВЕСЬ;APRO acc pl plen inan;;;ё;с;в;;;;A;ВЕСЬ;A - nom pl plen - -
36195;17;время;ВРЕМЯ;S n inan acc sg;;;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg
36196;18;опаздывает;ОПАЗДЫВАТЬ;V ipf praes sg indic 3p;;;т;е;а;в;ы;д;V;ОПАЗДЫВАТЬ;V ipf praes sg indic - 3p
36197;19;.;.;SENT;;;;;;;;;SENT;.;SENT
36198;;;;;;;;;;;;;;;
36199;1;Иии...;И;CONJ;*;;;;;и;и;и;S;ИИИ...;S m anim dat sg
36200;2;эм;ЭМ;INTJ;;;м;э;;;;;S;ЭМ;S n inan nonflex nonflex
36201;3;поэтому;ПОЭТОМУ;ADVPRO;;;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -
36202;4;мне;Я;SPRO sg 1p dat;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
36203;5;...;...;SENT;;;;;;;;;SENT;...;SENT
36204;;;;;;;;;;;;;;;
36205;1;Первым;ПЕРВЫЙ;ANUM ins sg plen m;;;м;ы;в;р;е;п;A;ПЕРВЫЙ;A - ins sg plen m -
36206;2;уроком;УРОК;S m inan ins sg;;;м;о;к;о;р;у;S;УРОК;S m inan ins sg
36207;3;у;У;PR;;;у;;;;;;PR;У;PR
36208;4;нас;МЫ;SPRO pl 1p gen;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
36209;5;была;БЫТЬ;V ipf praet sg indic f;;;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -
36210;6;математика;МАТЕМАТИКА;S f inan nom sg;;;а;к;и;т;а;м;S;МАТЕМАТИКА;S f inan nom sg
36211;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36212;8;нооо...;НО;CONJ;*;;;;;о;о;о;S;НООО...;S m inan nonflex nonflex
36213;9;на;НА;PR;;;а;н;;;;;PR;НА;PR
36214;10;математику;МАТЕМАТИКА;S f inan acc sg;;;у;к;и;т;а;м;S;МАТЕМАТИКА;S f inan acc sg
36215;11;вообще;ВООБЩЕ;ADV;;;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -
36216;12;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
36217;13;почти;ПОЧТИ;ADV;;;и;т;ч;о;п;;ADV;ПОЧТИ;ADV -
36218;14;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36219;15;опаздывает;ОПАЗДЫВАТЬ;V ipf praes sg indic 3p;;;т;е;а;в;ы;д;V;ОПАЗДЫВАТЬ;V ipf praes sg indic - 3p
36220;16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36221;17;нооо;НО;CONJ;*;;о;о;о;н;;;S;НООО;S f inan nonflex nonflex
36222;18;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
36223;19;короче;КОРОЧЕ;PARENTH ;;;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp
36224;20;поздно;ПОЗДНО;ADV ;;;о;н;д;з;о;п;ADV;ПОЗДНО;ADV -
36225;21;приходит.;ПРИХОДИТЬ.;V ipf praes sg indic 3p;;;;т;и;д;о;х;V;ПРИХОДИТЬ.;V ipf praes sg indic - 3p
36226;22;Хм;ХМ;INTJ;;;м;х;;;;;INTJ;ХМ;INTJ
36227;23;иии;И;CONJ;*;;и;и;и;;;;S;ИИИ;S m inan gen sg
36228;24;когдааа;КОГДА;CONJ;*;;а;а;а;д;г;о;S;КОГДААА;S m inan nonflex nonflex
36229;25;...;...;SENT;;;;;;;;;SENT;...;SENT
36230;;;;;;;;;;;;;;;
36231;1;Потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36232;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36233;3;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36234;4;у;У;PR;;;у;;;;;;PR;У;PR
36235;5;нас;МЫ;SPRO pl 1p gen;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
36236;6;уже;УЖЕ;ADV;;;е;ж;у;;;;ADV;УЖЕ;ADV -
36237;7;прошла;ПРОЙТИ;V pf praet sg indic f;;;а;л;ш;о;р;п;A;ПРОШЛЫЙ;A - - sg brev f -
36238;8;перемена;ПЕРЕМЕНА;S f inan nom sg;;;а;н;е;м;е;р;S;ПЕРЕМЕНА;S f inan nom sg
36239;9;после;ПОСЛЕ;PR;;;е;л;с;о;п;;PR;ПОСЛЕ;PR
36240;10;математики;МАТЕМАТИКА;S f inan gen sg;;;и;к;и;т;а;м;S;МАТЕМАТИКА;S f inan gen sg
36241;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36242;12;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36243;13;ещё;ЕЩЕ;ADV;;;ё;щ;е;;;;ADV;ЕЩЕ;ADV -
36244;14;прошла;ПРОЙТИ;V pf praet sg indic f;;;а;л;ш;о;р;п;V;ПРОЙТИ;V pf praet sg indic f -
36245;15;ещё;ЕЩЕ;ADV;;;ё;щ;е;;;;ADV;ЕЩЕ;ADV -
36246;16;одна;ОДИН;ANUM nom sg plen f;;;а;н;д;о;;;A;ОДИН;A - nom sg plen f -
36247;17;математика;МАТЕМАТИКА;S f inan nom sg;;;а;к;и;т;а;м;S;МАТЕМАТИКА;S f inan nom sg
36248;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36249;19;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36250;20;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36251;21;так и;так и;;раздельно;;и;;к;а;т;;ZERO;так и;ZERO
36252;22;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36253;23;решилась;РЕШИТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;и;ш;V;РЕШИТЬСЯ;V pf praet sg indic f -
36254;24;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36255;25;ничего;НИЧТО;S n gen sg;;;о;г;е;ч;и;н;S;НИЧТО;S n - gen sg
36256;26;отдать;ОТДАТЬ;V pf inf;;;ь;т;а;д;т;о;V;ОТДАТЬ;V pf - - inf - -
36257;27;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36258;28;потому что;потому что;CONJ;;;о;т;ч;;у;м;ZERO;потому что;ZERO
36259;29;яяя;Я;SPRO sg 1p nom;*;;я;я;я;;;;NONLEX;ЯЯЯ;NONLEX
36260;30;испугалась;ИСПУГАТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;а;г;V;ИСПУГАТЬСЯ;V pf praet sg indic f -
36261;31;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36262;32;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36263;33;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36264;34;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
36265;35;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36266;36;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
36267;37;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36268;38;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
36269;39;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36270;40;.;.;SENT;;;;;;;;;SENT;.;SENT
36271;;;;;;;;;;;;;;;
36272;1;М.;М.;INIT abbr;;;;м;;;;;S;М.;S - - nonflex nonflex
36273;2;Г.;Г.;INIT abbr;;;;г;;;;;S;Г.;S - - nonflex nonflex
36274;3;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
36275;4;Сначала;СНАЧАЛА;ADV;;;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -
36276;5;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36277;6;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36278;7;хотела;ХОТЕТЬ;V ipf praet sg indic f ;;;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -
36279;8;никому;НИКТО;SPRO m dat sg;;;у;м;о;к;и;н;S;НИКТО;S m - dat sg
36280;9;читать;ЧИТАТЬ;V ipf inf;;;ь;т;а;т;и;ч;V;ЧИТАТЬ;V ipf - - inf - -
36281;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36282;11;ой;ОЙ;INTJ;;;й;о;;;;;INTJ;ОЙ;INTJ
36283;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36284;13;давать;ДАВАТЬ;V ipf inf ;;;ь;т;а;в;а;д;V;ДАВАТЬ;V ipf - - inf - -
36285;14;читать;ЧИТАТЬ;V ipf inf;;;ь;т;а;т;и;ч;V;ЧИТАТЬ;V ipf - - inf - -
36286;15;эээ;ЭЭЭ;INTJ;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
36287;16;это;ЭТОТ;APRO acc sg plen n ;;;о;т;э;;;;A;ЭТОТ;A - acc sg plen n -
36288;17;письмо;ПИСЬМО;S n inan acc sg;;;о;м;ь;с;и;п;S;ПИСЬМО;S n inan nom sg
36289;18;моим;МОЙ;APRO dat pl plen ;;;м;и;о;м;;;A;МОЙ;A - ins sg plen m -
36290;19;подружкам;ПОДРУЖКА;S f anim dat pl;;;м;а;к;ж;у;р;S;ПОДРУЖКА;S f anim dat pl
36291;20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36292;21;нооо;НО;CONJ;*;;о;о;о;н;;;S;НООО;S m inan nonflex nonflex
36293;22;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36294;23;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36295;24;дала;ДАТЬ;V pf praet sg indic f ;;;а;л;а;д;;;V;ДАТЬ;V pf praet sg indic f -
36296;25;эээ;ЭЭЭ;INTJ;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
36297;26;прочитать;ПРОЧЕСТЬ;V pf inf;;;ь;т;а;т;и;ч;V;ПРОЧЕСТЬ;V pf - - inf - -
36298;27;это;ЭТО;SPRO n acc sg;;;о;т;э;;;;S;ЭТО;S n - acc sg
36299;28;Лизе;ЛИЗА;S f anim dat sg persn;;;е;з;и;л;;;S;ЛИЗА;S f anim dat sg
36300;29;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36301;30;Весте.;ВЕСТА;S f anim dat sg persn;;;;е;т;с;е;в;S;ВЕСТ.;S m inan loc sg
36302;31;Кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36303;32;.;.;SENT;;;;;;;;;SENT;.;SENT
36304;;;;;;;;;;;;;;;
36305;1;Иии;И;CONJ;*;;и;и;и;;;;S;ИИИ;S m inan loc sg
36306;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36307;3;эм;ЭМ;INTJ;;;м;э;;;;;S;ЭМ;S n inan nonflex nonflex
36308;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36309;5;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36310;6;они;ОНИ;SPRO pl nom 3p;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
36311;7;прочитали;ПРОЧЕСТЬ;V pf praet pl indic;;;и;л;а;т;и;ч;V;ПРОЧЕСТЬ;V pf praet pl indic - -
36312;8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36313;9;ониии;ОНИ;SPRO pl nom 3p;*;;и;и;и;н;о;;ADV;ОНИИИ;ADV -
36314;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36315;11;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
36316;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36317;13;они;ОНИ;SPRO pl nom 3p;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
36318;14;сказали;СКАЗАТЬ;V pf praet pl indic;;;и;л;а;з;а;к;V;СКАЗАТЬ;V pf praet pl indic - -
36319;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36320;16;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36321;17;короче;КОРОЧЕ;PARENTH ;;;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp
36322;18;они;ОНИ;SPRO pl nom 3p;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
36323;19;никому;НИКТО;SPRO m dat sg;;;у;м;о;к;и;н;S;НИКТО;S m - dat sg
36324;20;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36325;21;расскажут;РАССКАЗАТЬ;V pf fut pl indic 3p;;;т;у;ж;а;к;с;V;РАССКАЗАТЬ;V pf fut pl indic - 3p
36326;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36327;23;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36328;24;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36329;25;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36330;26;всё-таки;ВСЕ-ТАКИ;PART;;;и;к;а;т;;ё;PART;ВСЕ-ТАКИ;PART
36331;27;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36332;28;по...;ПО...;;distort;;;;;о;п;;PR;ПО...;PR
36333;29;побоялась;ПОБОЯТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;я;о;V;ПОБОЯТЬСЯ;V pf praet sg indic f -
36334;30;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36335;31;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36336;32;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36337;33;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
36338;34;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
36339;35;;_;;;;;;;;;;;_;36
36340;36;адать;ОТДАТЬ;V pf inf;*;;ь;т;а;д;а;;V;АДАТЬ;V pf - - inf - -
36341;37;;_;;;;;;;;;;;_;36
36342;38;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36343;39;отдать;ОТДАТЬ;V pf inf;;;ь;т;а;д;т;о;V;ОТДАТЬ;V pf - - inf - -
36344;40;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
